Species,Phonotypes,RMSE.A,Res.B
5,4,0.546501337,0.184918556
6,4,1.007595918,0.295168439
7,4,1.498207226,0.369784886
8,4,2.006617546,0.424633547
9,4,2.529566407,0.46682331
10,4,3.059018126,0.500937801
11,4,3.600317644,0.527018624
12,4,4.140252893,0.551769701
13,4,4.688948392,0.571647188
14,4,5.242700765,0.587860037
15,4,5.790013814,0.604986752
16,4,6.347401599,0.619778835
17,4,6.906345021,0.630390673
18,4,7.463353645,0.642204454
19,4,8.026120014,0.650523106
20,4,8.591101246,0.660500457
21,4,9.152306599,0.670762032
22,4,9.712206418,0.678300285
23,4,10.29053249,0.682877497
24,4,10.83825481,0.694968077
25,4,11.42314425,0.696850035
26,4,11.98632961,0.704703205
27,4,12.56128131,0.708625744
28,4,13.12113804,0.71582379
29,4,13.67670849,0.722166778
30,4,14.25477216,0.725015372
31,4,14.82434954,0.730090031
32,4,15.38953568,0.735905581
33,4,15.97629917,0.736247287
34,4,16.52564248,0.743425874
35,4,17.09755693,0.748773296
36,4,17.65652949,0.754014304
37,4,18.25181637,0.755853453
38,4,18.82052876,0.756401019
39,4,19.38415452,0.762682348
40,4,19.96988859,0.765595567
41,4,20.54305156,0.767268636
42,4,21.0885196,0.774324685
43,4,21.68910425,0.773104186
44,4,22.25313742,0.776017319
45,4,22.82504453,0.779042478
46,4,23.38267593,0.782275536
47,4,23.97307054,0.785861951
48,4,24.52820228,0.786892054
49,4,25.09858572,0.789007897
50,4,25.67627771,0.792900499
5,5,0,0
6,5,0.550979494,0.147090026
7,5,1.015456825,0.23977956
8,5,1.505033364,0.30488477
9,5,2.011549452,0.353838095
10,5,2.530942703,0.392994446
11,5,3.059708695,0.42405096
12,5,3.598175836,0.448921386
13,5,4.13905195,0.471050533
14,5,4.680247066,0.491930105
15,5,5.231592004,0.506736955
16,5,5.778437043,0.522800145
17,5,6.334744511,0.535784209
18,5,6.893254453,0.547135411
19,5,7.448616303,0.560865396
20,5,8.006400199,0.569875441
21,5,8.562371468,0.579603548
22,5,9.124454378,0.588558629
23,5,9.687591132,0.597375643
24,5,10.2465626,0.60490973
25,5,10.80818621,0.614517016
26,5,11.38716162,0.615920428
27,5,11.94938635,0.622596012
28,5,12.51542537,0.630162279
29,5,13.07928498,0.63598125
30,5,13.6321776,0.643475338
31,5,14.2024545,0.648614774
32,5,14.7898443,0.64997485
33,5,15.33714158,0.658623196
34,5,15.92091014,0.660199467
35,5,16.48389461,0.666696416
36,5,17.04214003,0.670442038
37,5,17.60727619,0.676691904
38,5,18.20693376,0.67562878
39,5,18.76318787,0.680024261
40,5,19.33432197,0.684758054
41,5,19.89111608,0.689290407
42,5,20.48045003,0.692172302
43,5,21.02172642,0.695053257
44,5,21.6056445,0.699424037
